player name,matches played,bat innings,bat runs,highest score,bat avg,bat sr,50s,100s,recent scores,bowl innings,overs,wickets,bowl avg,econ,bowl sr,recent bowling,role
Emmanuel Mendes,258,199,215,37,15.81,82.27,0,0,"23, 24, 5, 27, 20",258,249.3,305,36.16,6.96,25.17,"2/32, 0/25, 1/35, 0/19, 1/22",bowler
Mateo Lee,344,243,338,31,8.27,91.42,0,0,"21, 10, 17, 3, 2",344,930.4,342,24.16,6.17,20.08,"0/18, 1/17, 0/11, 2/23, 1/25",bowler
Omar Verma,294,211,6210,109,49.39,122.85,35,2,"63, 67, 64, 5, 65",28,45.4,13,74.07,9.4,51.61,,batter
Ethan Mendes,192,146,263,11,13.07,86.64,0,0,"12, 22, 8, 20, 5",192,302.1,182,23.6,6.21,16.47,"2/21, 0/18, 3/21, 4/18, 1/25",bowler
Arjun Moretti,277,172,4055,105,27.23,117.78,43,4,"39, 0, 44, 30, 20",10,14.5,1,23.71,7.8,25.17,,batter
Ahmed Singh,161,108,1090,51,15.56,134.8,11,0,"10, 10, 18, 20, 7",29,33.5,5,20.37,7.73,20.5,,batter
Rafael Chukwu,314,240,5711,102,40.43,113.79,36,4,"44, 0, 22, 34, 0",15,45.1,2,36.87,6.37,14.3,,batter
Ahmed Fernandez,22,16,1255,10,25.55,102.4,1,0,"25, 29, 27, 11, 1",22,35,19,28.85,5.77,19.4,"0/13, 1/30, 0/23, 3/12, 0/26",bowler
Wei Silva,253,177,80,19,6.96,64.74,0,0,"2, 2, 27, 11, 14",253,335.2,295,20.67,8.43,13.76,"0/18, 2/32, 3/27, 1/29, 0/17",bowler
Anil Garcia,236,193,4606,115,23.45,122.21,28,9,"4, 19, 20, 0, 31",20,17.5,4,26.82,6.04,22.13,,batter
Yusuf Dlamini,345,279,214,22,16.97,118.12,0,0,"8, 22, 7, 10, 15",345,764.5,365,34.65,8.83,22.91,"1/21, 1/16, 0/23, 3/12, 0/36",bowler
Arjun Smith,49,32,373,36,6.8,93.62,0,0,"25, 26, 24, 21, 3",49,57.5,55,40.93,8.39,32.55,"1/23, 2/35, 0/12, 0/29, 1/28",bowler
Rajiv Torres,59,51,477,126,15.54,131.66,12,1,"13, 12, 14, 4, 1",10,6.4,1,35.52,7.43,18.42,,batter
Carlos Ali,170,127,772,15,25.78,128.4,3,1,"27, 0, 23, 6, 1",170,266.2,154,17.47,6.64,13.05,"2/12, 6/19, 1/30, 0/18, 1/25",bowler
Ahmed Smith,188,155,3606,115,20.05,124.41,25,2,"46, 23, 39, 57, 53",26,18.2,5,28.87,8.17,21.54,,batter
Emmanuel Ali,271,209,3928,109,25.58,151.6,48,6,"25, 32, 11, 24, 21",27,32.5,6,28.21,7.89,16.43,,batter
Omar Tanaka,190,171,5132,103,27.45,181.24,18,3,"45, 41, 2, 16, 3",103,247.4,164,13.4,5.47,6.96,"0/17, 2/26, 0/22, 3/8, 1/22",allrounder
Ayaan Costa,175,145,3931,129,42.99,116.14,21,1,"62, 2, 3, 38, 33",78,165.4,151,34.59,8.76,20.17,"1/28, 1/16, 2/32, 1/36, 1/13",allrounder
Rajiv Mensah,51,41,1200,116,38.15,144.01,5,1,"48, 10, 50, 14, 0",20,64.4,34,30.17,8.12,16.46,"1/12, 3/27, 2/32, 0/23, 2/18",allrounder
Yusuf Moretti,55,46,1525,120,35.56,148.47,11,2,"49, 57, 45, 4, 54",14,43.4,6,44.79,13.86,33.08,,batter
Yusuf Baker,244,157,2934,110,33.5,123.72,34,3,"18, 60, 61, 35, 48",29,41.2,8,30.01,7.7,18.61,,batter
Zhang Nguyen,320,212,987,24,40.44,142.35,0,1,"23, 27, 4, 6, 3",320,673,272,16.31,5.35,13.21,"1/14, 0/23, 0/11, 0/22, 1/20",bowler
Moses Okoro,131,107,24,28,16.93,83.13,0,0,"4, 23, 0, 0, 14",131,125.1,135,19.69,9.46,18.71,"2/19, 3/21, 1/19, 0/18, 0/23",bowler
Ibrahim Jones,307,230,4734,125,36.87,111.22,49,5,"24, 2, 8, 2, 19",29,44.1,21,72.64,10.38,19.11,,batter
Kwame Dlamini,135,112,1285,19,28.39,127.25,1,0,"19, 18, 28, 9, 27",135,184.1,156,22.49,7.3,20.73,"1/28, 2/24, 1/27, 2/29, 0/33",bowler
Daniel Torres,21,13,344,64,31.27,90,2,0,"55, 8, 5, 4, 8",26,36.5,10,24.07,9.16,19.42,,batter
Ethan Mensah,329,250,5029,111,23.87,106.57,49,9,"4, 19, 26, 19, 21",189,503.2,241,23.05,5.59,24.27,"3/20, 1/22, 0/14, 0/23, 1/12",allrounder
Emmanuel Jones,167,119,2815,106,32.92,104.17,14,5,"25, 25, 2, 47, 9",28,48.4,6,33.23,8.59,20.07,,batter
Suraj Verma,274,202,1225,11,19.66,100.51,3,0,"17, 27, 2, 10, 14",274,428.5,223,16.77,7.41,16.93,"2/19, 1/26, 0/17, 4/25, 1/29",bowler
Marcus Jones,89,70,1280,110,25.32,147.42,5,3,"12, 2, 15, 22, 14",10,16,1,33.29,10.94,35.65,,batter
George Chukwu,316,237,1301,25,22.75,124.54,3,0,"26, 29, 10, 16, 16",316,552.3,263,21.33,6.3,19.98,"2/24, 1/23, 1/5, 1/18, 3/13",bowler
Liam Smith,14,11,58,30,12.85,103.82,0,0,"5, 4, 7, 1, 15",14,21,14,24.82,8.44,17.74,"0/21, 1/11, 0/8, 0/10, 0/20",bowler
George Kumar,242,181,900,119,5.06,129.57,26,4,"6, 8, 6, 8, 8",20,15.1,4,26.32,8.81,15.66,,batter
Ibrahim Verma,265,192,4559,123,33.7,145.6,37,1,"28, 3, 32, 19, 4",126,345.2,168,25.36,9.73,21.34,"0/12, 1/14, 1/29, 2/26, 2/21",allrounder
Suraj Adeyemi,346,288,1027,18,16.45,136.34,0,1,"19, 23, 11, 5, 0",346,300.2,291,39.2,6.02,22.8,"1/33, 1/25, 1/32, 0/26, 0/34",bowler
Kofi Hassan,53,32,953,112,32.29,137.5,3,1,"20, 67, 0, 32, 25",22,43.4,34,20.23,7.5,16.58,"2/35, 0/22, 1/33, 0/34, 2/38",allrounder
Wei Yamamoto,340,265,5391,128,19.26,171.79,32,10,"0, 0, 5, 35, 22",205,517.5,258,13.13,5.84,16.64,"0/22, 2/22, 2/31, 1/15, 1/15",allrounder
Ahmed Sharma,92,71,440,25,33.61,103.9,3,1,"3, 16, 12, 17, 4",92,258.1,83,12.79,8.1,15.14,"0/29, 3/24, 2/25, 1/24, 1/24",bowler
Moses Patel,264,215,3759,100,26.25,129.09,38,7,"27, 3, 37, 37, 31",127,283.1,169,21.08,6.12,22.36,"0/24, 0/19, 0/17, 1/23, 0/18",allrounder
Emmanuel Torres,35,27,818,72,33.68,126.49,6,0,"39, 32, 0, 46, 72",15,17.1,3,35.4,8.77,14.53,,batter
Henry Chukwu,206,175,3848,129,34.41,138.48,33,6,"6, 4, 64, 5, 34",0,0,0,0,0,0,,batter
Santiago Costa,81,72,315,127,4.74,126.52,12,2,"4, 2, 5, 3, 5",28,22.3,3,57.85,9.11,24.27,,batter
Omar Williams,50,35,627,111,34.79,119.73,6,1,"24, 1, 26, 36, 5",18,21.1,7,34.41,9.18,25.86,,batter
Chinedu Moretti,2,1,30,41,25.72,102.24,0,0,"38, 6, 8, 35, 38",0,0,0,0,0,0,,batter
Rohan Nguyen,54,39,862,125,27.23,130.04,8,2,"11, 37, 36, 5, 0",13,11.3,7,25.58,7.38,19.36,,batter
Emmanuel Kaur,106,73,1160,106,24.68,124.52,4,2,"5, 38, 3, 10, 37",44,150.4,68,24.61,6.07,17.49,"0/19, 0/21, 0/29, 0/40, 0/21",allrounder
Akash Garcia,260,204,5114,101,33.57,163.06,32,7,"35, 70, 56, 50, 82",27,36.4,9,32.11,12.2,40.16,,batter
Noah Smith,310,271,8371,105,37.64,159.41,51,4,"28, 24, 45, 60, 1",28,26.5,8,36.02,8.91,20.32,,batter
Victor Chukwu,191,123,524,22,18.89,158.37,0,1,"29, 23, 23, 26, 2",191,725.3,205,16.32,7.28,11.93,"1/35, 2/37, 3/15, 1/7, 4/29",bowler
Emmanuel Chukwu,218,137,2222,117,17.41,133.78,13,1,"13, 5, 0, 17, 30",0,0,0,0,0,0,,batter
Kofi Lopez,44,30,558,73,20.36,123.89,7,0,"3, 32, 32, 6, 6",26,54.3,29,21.94,7.02,17.73,"1/17, 1/5, 1/17, 0/29, 0/15",allrounder
Takumi Taylor,162,132,3786,121,31.53,125.68,32,1,"0, 52, 29, 21, 7",20,27,7,36.15,7.55,39.26,,batter
Kwame Lee,202,157,3260,119,22.78,132.31,15,6,"38, 53, 15, 30, 28",131,247.5,135,17.07,5.59,18.22,"2/27, 0/6, 1/15, 0/14, 1/3",allrounder
Santiago Smith,270,170,1250,9,22.81,98.51,2,1,"10, 12, 3, 25, 26",270,407.5,297,32.22,7.18,23.75,"1/19, 1/11, 0/28, 1/30, 1/19",bowler
Henry Lopez,304,266,7231,100,40.22,159.64,18,6,"44, 31, 45, 17, 35",0,0,0,0,0,0,,batter
Diego Mendes,271,227,4453,117,26.98,95.41,14,11,"28, 0, 6, 36, 20",0,0,0,0,0,0,,batter
Liam Verma,215,130,2334,108,32.05,176.04,10,6,"48, 31, 7, 32, 5",112,366.5,117,24.09,6.15,14.29,"0/32, 0/24, 1/22, 2/30, 0/36",allrounder
Arjun Okoro,252,200,1218,7,23.37,125.2,0,0,"13, 21, 10, 26, 9",252,416.1,297,13.55,9.64,10.64,"0/23, 1/21, 3/37, 1/29, 3/24",bowler
Victor Ali,190,158,566,27,23.21,173.24,2,0,"18, 17, 5, 26, 28",190,293.2,191,22.17,6.62,15.94,"1/14, 1/23, 0/12, 1/24, 0/21",bowler
Arjun Deshmukh,296,211,1042,30,33.57,154.79,0,0,"14, 20, 29, 9, 4",296,297.5,317,30.62,6.15,33.19,"0/17, 1/17, 2/31, 0/10, 0/18",bowler
Moses Ali,213,132,3348,130,31.69,157.99,14,6,"40, 44, 68, 41, 58",33,87.4,15,38.56,8.66,29.76,,batter
Julian Hassan,208,130,2754,119,28.95,184.63,9,4,"32, 34, 24, 12, 46",14,23.5,6,24.7,8.71,18.21,,batter
Wei Okoro,237,150,1716,124,13.42,95.27,16,5,"1, 15, 0, 25, 7",0,0,0,0,0,0,,batter
Kwame Tanaka,338,288,6990,113,27.33,120.9,20,4,"36, 1, 45, 36, 32",207,540.1,220,15.84,7.89,18.62,"0/17, 1/9, 0/19, 2/26, 3/18",allrounder
Ayaan Brown,53,46,926,28,32.28,142.61,2,0,"25, 28, 4, 9, 27",53,130.3,45,21.26,5.62,15.68,"3/15, 0/19, 0/15, 4/14, 0/29",bowler
Haruto Patel,280,178,4205,127,24.48,134.29,14,6,"19, 2, 15, 25, 42",10,22.4,3,18.59,9.4,18.6,,batter
Rafael Mehta,217,146,4137,117,33.89,147.17,32,4,"0, 53, 44, 3, 0",0,0,0,0,0,0,,batter
Omar Chukwu,252,164,2002,57,12.79,123.97,35,0,"20, 0, 2, 20, 23",14,25.1,0,26.29,8.22,20,,batter
Santiago Ali,188,123,2373,123,36.91,97.94,6,6,"34, 2, 5, 45, 5",13,13.2,5,28.72,8.7,21.31,,batter
Victor Costa,41,35,791,23,22.48,151.12,1,0,"4, 2, 22, 5, 3",41,55.2,47,26.14,6.29,18.93,"0/18, 1/24, 2/11, 0/26, 1/17",bowler
Zhang Mehta,157,110,249,29,6.03,77.99,0,0,"17, 27, 8, 16, 28",157,370.4,166,17.81,10,15.72,"2/23, 1/27, 2/34, 3/34, 0/39",bowler
Akash Taylor,15,10,293,64,36.86,138.75,1,0,"5, 35, 64, 11, 32",10,17.4,10,17.13,7.1,19.16,"4/25, 2/25, 3/21, 4/19, 0/22",allrounder
Kofi Iyer,301,201,1137,25,20.65,113.59,0,0,"12, 26, 14, 29, 19",301,871.4,329,22.85,7.89,14.71,"1/32, 0/19, 1/10, 1/27, 0/13",bowler
Akash Moretti,65,51,742,121,15.09,134.94,6,1,"12, 21, 17, 7, 7",0,0,0,0,0,0,,batter
Daniel Dlamini,345,246,893,16,14.44,116.16,1,0,"16, 12, 15, 21, 3",345,521.1,291,27.75,4.23,23.47,"1/5, 0/13, 0/12, 1/16, 0/10",bowler
Ayaan Taylor,327,269,768,37,25.92,119.14,0,0,"4, 4, 8, 16, 12",327,728.5,268,22.88,8.32,14.64,"0/15, 1/22, 1/26, 1/31, 1/20",bowler
Liam Silva,9,6,1145,8,24.85,120.87,3,1,"1, 12, 21, 20, 26",9,19.4,10,23.43,9,27.1,"1/9, 0/26, 1/13, 0/18, 3/17",bowler
Ayaan Fernandez,344,288,916,11,18.23,127.59,0,0,"22, 18, 2, 9, 1",344,508.3,277,22.2,7.65,24.47,"2/30, 0/30, 0/28, 0/20, 0/33",bowler
Wei Verma,129,101,563,26,25.31,127.53,1,0,"12, 18, 25, 16, 20",129,349.1,106,14.36,3.84,12.26,"0/8, 1/14, 0/20, 0/18, 0/11",bowler
Anil Ali,136,86,370,37,22.22,67.03,0,0,"13, 11, 20, 11, 10",136,210.1,112,30.27,7.82,27.7,"0/10, 0/30, 0/15, 0/25, 1/32",bowler
Ahmed Chukwu,63,46,1085,21,24.06,104.98,1,0,"6, 3, 18, 0, 27",63,99.2,61,23.56,5.8,23.29,"1/13, 1/18, 2/19, 1/12, 0/9",bowler
Kofi Taylor,139,119,2376,126,19.63,185.33,9,4,"31, 5, 3, 6, 4",13,35.4,7,24.6,6.94,18.16,,batter
Hiroshi Jones,81,71,1641,106,39.97,135.32,6,3,"28, 38, 54, 34, 2",5,3.2,0,0,11.31,0,,batter
Nikhil Costa,163,121,5126,104,54.32,132.23,10,4,"34, 67, 72, 7, 57",20,31.5,2,22.07,7.6,16.37,,batter
Mateo Brown,289,215,327,28,14.2,101.56,0,0,"23, 28, 2, 12, 14",289,294.3,233,15.51,8.58,18.51,"2/26, 1/32, 2/19, 0/33, 0/17",bowler
Yusuf Jones,261,229,6090,103,27.95,113.26,50,11,"33, 68, 3, 44, 17",0,0,0,0,0,0,,batter
Santiago Taylor,231,179,959,38,31.88,92.77,0,0,"1, 10, 3, 18, 28",231,417.5,244,28.2,8.74,23.04,"0/11, 0/21, 1/11, 2/15, 0/22",bowler
George Williams,41,25,824,113,40.31,129.32,5,1,"0, 49, 5, 5, 30",19,36.5,24,20.68,6.57,19.82,"1/15, 0/13, 2/19, 1/10, 1/28",allrounder
Suraj Reddy,28,24,360,127,16.52,151.44,4,1,"22, 2, 21, 7, 17",10,13.1,3,23.97,8.76,15.78,,batter
Diego Adeyemi,135,91,214,32,6.51,85.58,0,0,"16, 2, 27, 17, 7",135,157.5,111,21.75,9.28,18.29,"1/25, 1/34, 0/22, 1/31, 0/24",bowler
Haruto Mensah,201,155,503,26,23.13,119.97,2,0,"21, 24, 23, 25, 18",201,332,163,26.45,12.64,17.51,"3/39, 2/18, 2/23, 5/30, 1/29",bowler
Ahmed Williams,328,213,3209,104,24.53,99.02,30,7,"11, 8, 25, 24, 15",0,0,0,0,0,0,,batter
Pedro Sharma,268,164,3892,124,22.73,116.06,39,1,"27, 34, 22, 5, 26",24,40.1,5,17.28,10.65,14.9,,batter
Farhan Baker,33,23,396,101,23.3,104.49,4,1,"30, 16, 31, 3, 19",27,22.4,1,18.15,8.24,21.72,,batter
Ahmed Lee,48,40,983,118,29.05,145.74,5,1,"20, 24, 6, 35, 9",12,23,6,42.41,5.84,19.42,,batter
Henry Mensah,62,42,752,103,19.99,101.17,3,2,"38, 4, 38, 5, 18",25,54.2,33,30.8,6.3,19.55,"1/33, 1/21, 0/20, 2/28, 0/18",allrounder
Ethan Hassan,216,144,3803,100,36.61,110.52,15,3,"22, 1, 2, 1, 0",97,165.2,192,28.74,8.68,21.35,"0/19, 1/24, 1/31, 0/29, 1/14",allrounder
Mateo Watanabe,293,194,1078,21,34.68,147.12,0,0,"4, 6, 20, 7, 27",293,475.2,255,24.45,8.58,19.56,"2/36, 2/36, 0/13, 1/26, 3/23",bowler
Daniel Mendes,99,75,856,114,18.51,107.36,15,2,"20, 16, 24, 29, 10",42,111.3,84,36.4,6.97,19.72,"0/15, 0/23, 2/21, 0/24, 0/19",allrounder
Rajiv Anderson,172,154,5733,106,36.24,105.72,12,4,"2, 3, 33, 0, 6",77,205.5,149,30.37,7.92,22.63,"1/16, 2/23, 0/15, 0/27, 1/12",allrounder
Henry Smith,214,158,2212,102,27.86,75.97,27,6,"32, 0, 20, 32, 32",0,0,0,0,0,0,,batter
Noah Fernandez,35,27,657,107,37.44,145.55,4,1,"9, 55, 4, 39, 34",20,46.3,18,20.22,5.69,33.89,"0/13, 0/11, 1/7, 0/23, 1/10",allrounder
Yusuf Mendes,227,195,371,38,10.72,113.36,0,0,"4, 16, 4, 3, 21",227,480.2,208,24.58,8.02,23.54,"2/26, 1/30, 0/20, 4/20, 0/12",bowler
Ayaan Verma,101,77,1393,114,33.73,146.42,14,3,"18, 16, 4, 9, 24",65,180.2,66,31.46,8.74,25.17,"0/16, 2/15, 2/28, 0/21, 0/20",allrounder
Akash Sharma,131,86,1458,127,22.98,137.79,19,2,"7, 8, 19, 12, 5",61,144.3,101,30.31,6.93,22.72,"0/17, 1/32, 0/27, 0/25, 1/18",allrounder
Victor Lopez,257,177,3276,94,27.48,149,20,0,"18, 6, 7, 6, 34",41,103.3,13,23.89,8.84,40.6,,batter
Liam Mendes,5,3,76,62,31.66,114,1,0,"48, 9, 0, 22, 46",0,0,0,0,0,0,,batter
Noah Jones,218,157,3126,130,26.97,136.02,13,2,"38, 7, 4, 38, 29",16,25.5,7,57.24,7.59,17.07,,batter
Rafael Anderson,255,186,102,10,18.13,91.11,0,0,"18, 26, 20, 1, 10",255,478.3,239,26.79,5.9,23.01,"2/17, 0/23, 1/24, 0/16, 2/17",bowler
Anil Mensah,283,238,6284,107,40.17,104.99,25,2,"29, 37, 46, 43, 6",117,284.5,201,27.59,10.78,14.84,"2/32, 3/37, 2/36, 2/15, 1/34",allrounder
Chinedu Lee,207,146,3677,105,36.85,131.76,11,1,"16, 38, 59, 6, 35",133,297.5,176,17.87,6.71,21.48,"1/26, 0/22, 1/8, 2/15, 2/11",allrounder
Diego Baker,15,11,171,95,21.94,115.46,1,0,"31, 34, 21, 16, 5",24,40.3,4,28.79,7.63,18.41,,batter
Kofi Mehta,346,272,908,10,29.01,151.56,2,0,"21, 12, 14, 11, 21",346,554.2,381,23.83,8.55,17.54,"1/28, 1/21, 0/18, 2/26, 2/24",bowler
Haruto Fernandez,42,30,425,38,37.68,110.83,3,0,"20, 21, 10, 6, 27",42,123.1,34,24.84,9.32,16.93,"1/31, 2/27, 0/35, 1/32, 2/31",bowler
Rafael Moretti,179,152,2941,105,28.43,160.28,12,7,"2, 13, 14, 6, 0",21,24.3,4,24.98,10.3,18.73,,batter
Hiroshi Reddy,63,49,497,113,17.42,134.25,10,2,"6, 3, 17, 19, 3",24,35.3,5,29.9,8.44,18.99,,batter
Anil Johnson,231,159,5119,101,32.29,114.1,9,6,"50, 49, 38, 16, 0",0,0,0,0,0,0,,batter
Mateo Diallo,241,196,4983,118,34.47,187.84,47,8,"35, 1, 23, 9, 20",153,432,123,43.88,9.9,26.38,"1/19, 0/32, 0/31, 0/29, 0/24",allrounder
Rafael Mensah,52,39,981,129,30.59,136.55,7,1,"25, 3, 2, 43, 29",0,0,0,0,0,0,,batter
George Mendes,96,73,806,5,24.49,134.27,0,0,"4, 16, 23, 19, 8",96,147.5,89,21.86,9.66,14.45,"1/22, 0/24, 1/30, 1/22, 0/34",bowler
George Brown,222,165,587,14,32.17,138.2,1,0,"13, 25, 11, 5, 16",222,253.4,261,17.02,9.25,17.58,"0/28, 1/14, 3/13, 2/4, 0/11",bowler
Zhang Diallo,231,173,4115,106,31.87,121.76,26,3,"0, 8, 35, 44, 13",21,37.1,2,26.3,9,11.65,,batter
Ethan Chukwu,237,197,957,116,4.1,166.57,41,6,"7, 3, 7, 8, 0",149,454.5,154,26.2,9.09,29.89,"0/22, 1/25, 2/24, 2/21, 1/28",allrounder
Chinedu Singh,143,90,2598,76,48.43,94.49,14,0,"9, 66, 41, 54, 7",85,240.2,96,39.35,8.19,25.06,"0/15, 1/26, 1/17, 1/23, 0/17",allrounder
Rohan Lopez,171,120,2278,120,35.14,140.13,21,4,"23, 29, 39, 30, 23",0,0,0,0,0,0,,batter
Suraj Patel,29,18,686,25,20.78,118.9,0,0,"18, 18, 25, 15, 11",29,65.1,34,16.78,8.49,10.98,"2/28, 2/14, 1/15, 3/14, 0/29",bowler
Chinedu Watanabe,36,30,655,106,32.18,174.14,4,1,"39, 39, 39, 9, 30",12,30.1,5,26.8,7.31,11.88,,batter
Noah Verma,13,9,250,84,40.81,148.03,1,0,"10, 63, 39, 50, 19",23,14.5,6,24.41,9.68,29.37,,batter
Ayaan Silva,160,139,4746,114,42.03,180.6,31,1,"26, 46, 62, 4, 60",15,26.5,5,30.5,10.55,22.38,,batter
Sunil Khan,327,248,1090,9,22.08,160.93,0,1,"11, 19, 5, 22, 25",327,437.3,284,19.59,6.51,15.05,"0/19, 1/24, 1/29, 1/11, 2/23",bowler
Omar Mensah,187,157,744,6,16.09,185.63,3,0,"3, 5, 10, 0, 29",187,174.4,203,20.81,5.66,23.97,"3/12, 3/19, 1/21, 2/10, 1/5",bowler
Wei Jones,243,217,5488,110,35.63,155.85,11,5,"9, 38, 53, 17, 51",26,55.5,5,30.31,9.74,36.25,,batter
Ayaan Williams,86,73,260,87,5.58,133.79,11,0,"6, 7, 7, 9, 7",21,22.4,7,24.34,6.5,21.27,,batter
Chinedu Kumar,284,244,5275,122,27.52,116.4,60,8,"8, 3, 0, 15, 39",126,273.5,216,16.06,7.93,13.87,"3/17, 2/25, 1/21, 2/24, 2/17",allrounder
Victor Tanaka,66,48,687,129,21.84,103.53,5,2,"34, 5, 7, 17, 25",0,0,0,0,0,0,,batter
Sunil Fernandez,170,130,4412,101,53.26,109.34,17,2,"35, 40, 32, 1, 27",14,48.3,3,22.42,6.95,18.92,,batter
Kofi Costa,45,30,1240,26,29.89,138.33,0,0,"23, 22, 14, 26, 10",45,52.5,49,32.8,9.26,21.39,"3/44, 0/26, 0/30, 2/32, 1/28",bowler
Rajiv Verma,62,41,726,101,22.28,83.87,9,2,"20, 29, 24, 20, 29",26,50.5,33,14.4,5.12,14.93,"0/13, 2/7, 2/20, 1/19, 0/9",allrounder
Takumi Iyer,134,101,1563,114,22.94,116.41,13,4,"31, 31, 30, 4, 29",24,9.3,3,36.69,6.96,24.01,,batter
Diego Lee,284,221,681,6,20.44,141.04,2,0,"24, 18, 17, 16, 18",284,655.2,268,28.72,9.44,21.02,"0/17, 1/21, 1/21, 0/31, 2/16",bowler
Diego Costa,28,20,292,14,16.8,92.09,0,0,"20, 13, 26, 17, 27",28,45.2,26,36.29,7.59,26.34,"1/19, 0/11, 1/32, 0/27, 2/25",bowler
Arjun Diallo,108,83,840,125,16.28,158.98,15,3,"11, 0, 0, 8, 4",25,22,5,22.93,5.66,20.79,,batter
Rohan Tanaka,44,38,854,38,30.72,127.57,0,0,"18, 14, 14, 3, 6",44,55,43,17.21,6.77,19.86,"0/26, 3/27, 0/25, 2/35, 0/29",bowler
Zhang Watanabe,340,261,5743,114,35.36,147.98,17,2,"33, 36, 23, 5, 28",29,38.3,10,29.59,9.42,35.78,,batter
Rohan Garcia,286,233,688,20,33.9,126.75,2,0,"12, 2, 15, 8, 7",286,412.1,264,14.86,5.6,15.73,"6/19, 3/8, 1/7, 0/14, 3/15",bowler
Sunil Mensah,331,279,1376,26,21.24,124.76,0,0,"19, 12, 16, 16, 16",331,466.5,372,23.06,9.38,17.31,"0/29, 2/21, 2/32, 1/23, 5/23",bowler
Farhan Moretti,128,115,1117,16,36.04,101.51,2,0,"0, 7, 18, 5, 2",128,147.2,153,20.29,5.98,9.98,"1/25, 0/20, 3/12, 3/21, 2/23",bowler
Nikhil Silva,348,272,7103,108,33.11,89.94,61,4,"51, 33, 0, 14, 15",0,0,0,0,0,0,,batter
Pedro Moretti,231,195,2132,123,15.17,100.91,13,6,"4, 10, 3, 15, 15",146,344.1,120,23.1,6.94,17.98,"2/15, 0/18, 0/26, 0/26, 0/22",allrounder
Haruto Moretti,190,169,3114,65,28.4,162.38,33,0,"6, 6, 0, 18, 7",0,0,0,0,0,0,,batter
Santiago Khan,225,199,2901,120,19.84,101.51,21,1,"22, 17, 13, 3, 29",12,20.3,3,18.62,5.94,19.58,,batter
Rohan Adeyemi,283,182,6521,91,58.4,101.92,37,0,"9, 31, 91, 59, 42",0,0,0,0,0,0,,batter
Emmanuel Fernandez,121,87,14,28,11.17,104.69,0,0,"26, 4, 12, 14, 13",121,166.5,123,18.05,4.48,23.8,"0/4, 0/26, 0/14, 0/10, 1/12",bowler
Mateo Reddy,116,81,1440,14,30.12,139.36,2,1,"28, 22, 15, 17, 21",116,269.1,111,30.97,8.94,26.64,"1/22, 3/16, 3/24, 1/19, 1/27",bowler
